peak_id,sample_id,wavenumber_cm_minus_1,relative_intensity,educational_assignment,photon_energy_kj_per_mol
p1,unknown_A,3350.0,0.42,possible O-H or N-H stretching region,40.074899488963496
p2,unknown_A,3060.0,0.18,possible aromatic or alkene C-H stretching region,36.60572908544128
p3,unknown_A,2960.0,0.35,possible aliphatic C-H stretching region,35.40946342905431
p4,unknown_A,1718.0,0.95,possible carbonyl stretching region,20.551843976728144
p5,unknown_A,1602.0,0.48,possible C=C or aromatic ring region,19.16417581531926
p6,unknown_A,1250.0,0.56,"possible C-O, C-N, or fingerprint-region feature",14.953320704837124
p7,unknown_A,755.0,0.37,possible aromatic C-H out-of-plane region,9.031805705721625
p8,reference_ester,2980.0,0.3,possible aliphatic C-H stretching region,35.64871656033171
p9,reference_ester,1735.0,0.92,possible carbonyl stretching region,20.75520913831393
p10,reference_ester,1245.0,0.61,"possible C-O, C-N, or fingerprint-region feature",14.893507422017777
p11,reference_aromatic,3062.0,0.24,possible aromatic or alkene C-H stretching region,36.62965439856902
p12,reference_aromatic,1600.0,0.58,possible C=C or aromatic ring region,19.14025050219152
p13,reference_aromatic,750.0,0.51,possible aromatic C-H out-of-plane region,8.971992422902275
